,town,latitude,longitude,country
361,Claremont Meadows,-33.77587,150.75193,Australia
362,Clarence Town,-32.58395,151.77757,Australia
363,Clarence Valley,-29.69444,152.78156,Australia
364,Claymore,-34.04649,150.81114,Australia
365,Clemton Park,-33.92616,151.10406,Australia
366,Clontarf,-33.80554,151.25367,Australia
367,Clovelly,-33.91214,151.25882,Australia
368,Coal Point,-33.04225,151.61159,Australia
369,Cobar,-31.96613,145.36063,Australia
370,Cobbitty,-34.01592,150.67854,Australia
371,Coffs Harbour,-30.17294,153.03262,Australia
372,Coleambally,-34.80388,145.88036,Australia
373,Colebee,-33.72769,150.84743,Australia
374,Coledale,-34.29105,150.9447,Australia
375,Collaroy,-33.73205,151.30118,Australia
376,Collaroy Plateau,-33.72884,151.29075,Australia
377,Colo Vale,-34.40095,150.48573,Australia
378,Colyton,-33.78283,150.79679,Australia
379,Como,-33.99941,151.06389,Australia
380,Concord,-33.84722,151.10381,Australia
381,Concord West,-33.84809,151.08609,Australia
382,Condell Park,-33.92458,151.01093,Australia
383,Condobolin,-33.08877,147.15139,Australia
384,Coniston,-34.45,150.88333,Australia
385,Connells Point,-33.98827,151.09094,Australia
386,Constitution Hill,-33.79259,150.97627,Australia
387,Coogee,-33.9205,151.25522,Australia
388,Cooks Hill,-32.93244,151.77114,Australia
389,Coolah,-31.82787,149.71564,Australia
390,Coolamon,-34.60046,147.13707,Australia
391,Cooma,-36.23517,149.12408,Australia
392,Coonabarabran,-31.27734,149.27904,Australia
393,Coonamble,-30.86714,148.29053,Australia
394,Cooranbong,-33.07622,151.45409,Australia
395,Cootamundra,-34.64095,148.02838,Australia
396,Copacabana,-33.48692,151.43587,Australia
397,Coraki,-28.9926,153.28374,Australia
398,Cordeaux Heights,-34.44043,150.83748,Australia
399,Corindi Beach,-30.01668,153.18555,Australia
400,Corlette,-32.72014,152.10846,Australia
401,Corowa,-35.99704,146.38552,Australia
402,Corrimal,-34.37864,150.90356,Australia
403,Coutts Crossing,-29.82619,152.89156,Australia
404,Cowra,-33.81138,148.78346,Australia
405,Cranebrook,-33.7061,150.7094,Australia
406,Cremorne,-33.82679,151.22633,Australia
407,Cremorne Point,-33.84008,151.22698,Australia
408,Crescent Head,-31.1887,152.97301,Australia
409,Crestwood,-35.34844,149.21758,Australia
410,Cringila,-34.47131,150.86755,Australia
411,Cromer,-33.7312,151.26788,Australia
412,Cronulla,-34.06251,151.14961,Australia
413,Crookwell,-34.45925,149.47137,Australia
414,Crows Nest,-33.82494,151.20398,Australia
415,Croydon,-33.88333,151.11667,Australia
416,Culburra Beach,-34.92788,150.75766,Australia
417,Culcairn,-35.66669,147.03845,Australia
418,Cumbalum,-28.8225,153.5284,Australia
419,Cundletown,-31.8941,152.52141,Australia
420,Curl Curl,-33.76886,151.28888,Australia
421,Currans Hill,-34.04311,150.77301,Australia
422,Daceyville,-33.92879,151.22577,Australia
423,Dalmeny,-36.16608,150.12912,Australia
424,Dapto,-34.50386,150.79416,Australia
425,Darling Point,-33.87064,151.23895,Australia
426,Darlinghurst,-33.87939,151.21925,Australia
427,Darlington,-33.89103,151.19548,Australia
428,Darlington Point,-34.56942,145.9987,Australia
429,Davidson,-33.74297,151.2008,Australia
430,Davistown,-33.48559,151.36151,Australia
431,Dean Park,-33.73539,150.85958,Australia
432,Dee Why,-33.7511,151.28886,Australia
433,Denham Court,-33.98307,150.84606,Australia
434,Deniliquin,-35.53245,144.95364,Australia
435,Denistone,-33.79835,151.09051,Australia
436,Denistone East,-33.796,151.0974,Australia
437,Denman,-32.38788,150.68935,Australia
438,Dharruk,-33.74814,150.81561,Australia
439,Dolls Point,-33.99341,151.14474,Australia
440,Doonside,-33.76667,150.86667,Australia
441,Dora Creek,-33.08139,151.49677,Australia
442,Dorrigo,-30.34112,152.71394,Australia
443,Double Bay,-33.87782,151.24354,Australia
444,Douglas Park,-34.18496,150.71449,Australia
445,Dover Heights,-33.87083,151.27917,Australia
446,Drummoyne,-33.85237,151.15491,Australia
447,Dubbo,-32.24295,148.60484,Australia
448,Dudley,-32.99373,151.72197,Australia
449,Dulwich Hill,-33.9041,151.13945,Australia
450,Dundas Valley,-33.78826,151.05261,Australia
451,Dunedoo,-32.01634,149.3871,Australia
452,Dungog,-32.34619,151.61122,Australia
453,Dural,-33.68333,151.01667,Australia
454,Eagle Vale,-34.03747,150.8136,Australia
455,Earlwood,-33.9209,151.12506,Australia
456,East Albury,-36.08144,146.92991,Australia
457,East Ballina,-28.85709,153.58736,Australia
458,East Branxton,-32.65372,151.36559,Australia
459,East Corrimal,-34.37606,150.91078,Australia
460,East Gosford,-33.43874,151.35338,Australia
461,East Hills,-33.96099,150.98822,Australia
462,East Jindabyne,-36.39579,148.65137,Australia
463,East Kempsey,-31.08242,152.85253,Australia
464,East Killara,-33.75535,151.18154,Australia
465,East Kurrajong,-33.5055,150.79427,Australia
466,East Lindfield,-33.76664,151.18685,Australia
467,East Lismore,-28.82591,153.2888,Australia
468,East Maitland,-32.75,151.58333,Australia
469,East Ryde,-33.81031,151.13153,Australia
470,East Tamworth,-31.08548,150.93721,Australia
471,Eastlakes,-33.93196,151.21214,Australia
472,Eastwood,-33.79176,151.08057,Australia
473,Eden,-37.06675,149.90029,Australia
474,Edensor Park,-33.87971,150.87778,Australia
475,Edgecliff,-33.87952,151.23677,Australia
476,Edgeworth,-32.92508,151.61612,Australia
477,Edmondson Park,-33.95695,150.86134,Australia
478,Eglinton,-33.37731,149.54654,Australia
479,Elanora Heights,-33.70159,151.27965,Australia
480,Elderslie,-34.05519,150.71367,Australia
481,Eleebana,-32.9896,151.63642,Australia
482,Elermore Vale,-32.91621,151.67665,Australia
483,Elizabeth Bay,-33.87181,151.22706,Australia
484,Elizabeth Hills,-33.89863,150.84761,Australia
485,Ellalong,-32.91507,151.31161,Australia
486,Emerald Beach,-30.16388,153.1819,Australia
487,Emerton,-33.74411,150.80644,Australia
488,Empire Bay,-33.49385,151.3629,Australia
489,Emu Heights,-33.73453,150.64874,Australia
490,Emu Plains,-33.75,150.66667,Australia
491,Engadine,-34.06564,151.01266,Australia
492,Enmore,-33.9005,151.17314,Australia
493,Epping,-33.77271,151.08184,Australia
494,Erina,-33.43218,151.38972,Australia
495,Ermington,-33.81483,151.05467,Australia
496,Erskine Park,-33.81301,150.79773,Australia
497,Erskineville,-33.90254,151.18579,Australia
498,Eschol Park,-34.02982,150.80957,Australia
499,Estella,-35.07254,147.35748,Australia
500,Ettalong,-33.51301,151.3383,Australia
501,Ettalong Beach,-33.51058,151.33044,Australia
502,Eulomogo,-32.26667,148.68333,Australia
503,Eurobodalla,-35.93307,149.9278,Australia
504,Evans Head,-29.11777,153.43072,Australia
505,Fairfield,-33.86742,150.90105,Australia
506,Fairfield East,-33.86938,150.97129,Australia
507,Fairfield Heights,-33.86445,150.93884,Australia
508,Fairfield West,-33.8667,150.917,Australia
509,Fairlight,-33.79575,151.27346,Australia
510,Fairy Meadow,-34.39303,150.89275,Australia
511,Farmborough Heights,-34.45499,150.81308,Australia
512,Faulconbridge,-33.7,150.53333,Australia
513,Fennell Bay,-32.9922,151.60008,Australia
514,Fern Bay,-32.86428,151.81307,Australia
515,Fern Hill,-34.38294,150.88567,Australia
516,Figtree,-34.43556,150.85833,Australia
517,Fingal Bay,-32.74969,152.17104,Australia
518,Finley,-35.65498,145.57106,Australia
519,Five Dock,-33.8674,151.12905,Australia
520,Fletcher,-32.87232,151.64008,Australia
521,Flinders,-34.58333,150.85516,Australia
522,Floraville,-33.01116,151.6648,Australia
523,Forbes,-33.37898,147.86448,Australia
524,Forest Hill,-35.1481,147.46707,Australia
525,Forest Lodge,-33.88137,151.18,Australia
526,Forestville,-33.76667,151.20833,Australia
527,Forresters Beach,-33.407,151.476,Australia
528,Forster,-32.18136,152.51715,Australia
529,Frederickton,-31.03749,152.8753,Australia
530,Freemans Reach,-33.55794,150.79553,Australia
531,Frenchs Forest,-33.74821,151.22322,Australia
532,Freshwater,-33.77867,151.28569,Australia
533,Galston,-33.65297,151.04713,Australia
534,Garden Suburb,-32.94368,151.68085,Australia
535,Gateshead,-32.98208,151.69188,Australia
536,Georges Hall,-33.90879,150.98852,Australia
537,Georgetown,-32.9081,151.73119,Australia
538,Gerringong,-34.74702,150.82809,Australia
539,Gilgandra,-31.63297,148.70354,Australia
540,Gillieston Heights,-32.76164,151.52863,Australia
541,Girards Hill,-28.81693,153.27786,Australia
542,Girraween,-33.799,150.943,Australia
543,Gladesville,-33.83333,151.13333,Australia
544,Glebe,-33.87884,151.18426,Australia
545,Glen Alpine,-34.086,150.78512,Australia
546,Glen Innes,-29.73485,151.7385,Australia
547,Glen Innes Severn,-29.63116,151.93957,Australia
548,Glenbrook,-33.76667,150.61667,Australia
549,Glendale,-32.93194,151.64103,Australia
550,Glendenning,-33.7483,150.85411,Australia
551,Glenfield,-33.96667,150.9,Australia
552,Glenfield Park,-35.13725,147.33285,Australia
553,Glenhaven,-33.7,151.0,Australia
554,Glenmore Park,-33.79068,150.6693,Australia
555,Glenning Valley,-33.35369,151.42623,Australia
556,Glenorie,-33.60177,151.00886,Australia
557,Glenroy,-36.05021,146.91058,Australia
558,Glenwood,-33.73333,150.93284,Australia
559,Glossodia,-33.53618,150.7739,Australia
560,Gloucester,-32.0077,151.9633,Australia
561,Gol Gol,-34.17388,142.22187,Australia
562,Googong,-35.43873,149.2131,Australia
563,Goonellabah,-28.81667,153.31667,Australia
564,Gordon,-33.75535,151.15115,Australia
565,Gorokan,-33.25764,151.5097,Australia
566,Gosford,-33.4244,151.34399,Australia
567,Goulburn,-34.75155,149.72086,Australia
568,Goulburn Mulwaree,-34.9025,149.902,Australia
569,Grafton,-29.68104,152.93394,Australia
570,Granville,-33.8406,151.00748,Australia
571,Grasmere,-34.05392,150.66602,Australia
572,Grays Point,-34.05873,151.08604,Australia
573,Greater Hume Shire,-35.75837,147.19731,Australia
574,Green Valley,-33.90292,150.86713,Australia
575,Greenacre,-33.90034,151.05563,Australia
576,Greenfield Park,-33.87461,150.89189,Australia
577,Greenwell Point,-34.90751,150.73113,Australia
578,Greenwich,-33.83954,151.183,Australia
579,Gregory Hills,-34.02673,150.7707,Australia
580,Grenfell,-33.89549,148.16438,Australia
581,Greta,-32.67783,151.38924,Australia
582,Greystanes,-33.82346,150.94607,Australia
583,Griffith,-34.33448,146.02295,Australia
584,Grose Vale,-33.58331,150.6744,Australia
585,Guildford West,-33.84939,150.96475,Australia
586,Gulgong,-32.36253,149.53201,Australia
587,Gulmarrad,-29.487,153.23341,Australia
588,Gundagai,-35.02623,148.13457,Australia
589,Gundaroo,-35.03333,149.25,Australia
590,Gunnedah,-31.02404,150.11548,Australia
591,Guyra,-30.2168,151.66785,Australia
592,Gwandalan,-33.13538,151.58285,Australia
593,Gwydir,-29.49806,150.53813,Australia
594,Gwynneville,-34.41667,150.8875,Australia
595,Gymea,-34.03637,151.08528,Australia
596,Gymea Bay,-34.05209,151.08795,Australia
597,Haberfield,-33.88296,151.14389,Australia
598,Halekulani,-33.21914,151.55251,Australia
599,Hamilton,-32.92207,151.74711,Australia
600,Hamlyn Terrace,-33.25125,151.47627,Australia
